Schritt;Beschreibung Deutsch;Beschreibung Englisch;;
Idee für Design;Idea for Design;A1;
Grundriss oder Kante/Ecke;Floor plan or edge/corner;B2;
Grob-Entwurf, erste Verbindungen, Dreieck als erstes Polygon;Rough draft, first connections, triangle as first polygon;C3;
Fortschritt durch Linienansichten, Verkantung;Progress through line views, tilting/canting;D4;
Prototyp, Ankerpunkte als Grundlage für den Entwurf;Prototype, anchor points as design foundation;E5;
Entwicklungsmodelle in Stufen;Development models in stages;F6;
Zeichnen des Designs mit Kreisen und Kugeln;Drawing the design with circles and spheres;G7;
Plottmodus 2D/3D in CAD-Programmen, Polygone;2D/3D plot mode in CAD programs, polygons;H8;
Morphing, Wandeln und Verbinden;Morphing, transforming and connecting;I9;
Ansicht wie Haut oder Anzug;View as skin or suit;J10;
Angepasstes Umsicht-System, Verhaltenseigenschaften, passgenaues System;Adapted surround-view system, behavioral properties, fitting system;K11;
Fundament und Designobjekthierarchie;Foundation and design object hierarchy;L12;
Designmöglichkeitswege, Begrenzungen (Zaun);Design possibility paths, boundaries (fence);M13;
Zusammengehörigkeiten von 3D- und 2D-Objekten;Affiliations of 3D and 2D objects;N14;
Fertiges Grunddesign-Objekt, erste Animation;Finished base design object, initial animation;O15;
Haut/Skin als Überzug, Bearbeitung von Zwischenräumen, Plott-Ansichten, Zeitlinien, Animationsvarianten, Video/Audio-Komposition;Skin as covering, editing spaces, plot views, timelines, animation variants, video/audio composition;P16;
Struktur und Muster darüberlegen, Reduktion, Dellen;Overlay structure and pattern, reduction, dents;Q17;
Zusammenstellung zur Konstellation, Verbund von Verbundobjekten;Assembly into constellation, compound of compound objects;R18;
Kontextuelle Einbettung, Aufplüschen, Aufbauschen, Beulen;Contextual embedding, fluffing up, bulging, bumps;S19;
Fertige Aussehen-Modi und Möglichkeiten, Zergliedern;Finished appearance modes and possibilities, dissection;T20;
Ausstellungs- und Show-Modelle, Wechselwirkung 3D/2D über Puzzleteile;Exhibition and show models, interaction 3D/2D via puzzle pieces;U21;
Variieren, Probieren, Interaktion, Passgenauigkeit;Varying, testing, interaction, fit accuracy;V22;
Speichern, Absichern, Nachweisen, Verkleben, Verbinden;Save, secure, document, glue, connect;W23;
Innere Funktionalität von CAD/Raytracing/Radiosity, Freiheitsgrade;Internal functionality of CAD/raytracing/radiosity, degrees of freedom;X24;
Arbeitsreihenfolge in der Entwurfspipeline, Möglichkeitsmodelle, Entfesselung von Auswirkungen;Work sequence in design pipeline, possibility models, unleashing effects;Y25;
Programm- und Modellkompatibilität, Horizont der Sichtweite;Program and model compatibility, horizon of viewing distance;Z26;
Kein Stilbruch im Gesamtgemälde, Korrektur von Verwirrung;No style break in overall picture, correction of confusion;AA27;
Einbetten kultureller Designs, Stoff als mathematische Struktur – von Topologie zu Topografie;Embedding cultural designs, fabric as mathematical structure – from topology to topography;AB28;
Tiefenmorphologie, mathematische Verbiegungsmöglichkeiten;Deep morphology, mathematical bending possibilities;AC29;
Energie, Zeit, Animation, Veränderung, virtuelle Energie mit Erhaltungssatz;Energy, time, animation, change, virtual energy with conservation law;AD30;
Hochsensible Detailtreue, Feinschliff, Korrektur erkennbarer Umsicht;High-sensitive detail fidelity, fine finishing, correction of visible surround;AE31;
Fertiggestelltes Designmodell als Skulptur;Completed design model as sculpture;AF32;
Technisieren, Anwenden von Technologie;Technization, applying technology;AG33;
Replizieren, Reproduzieren, Automatisierung (Wahrscheinlichkeitsfläche statt Punkt);Replicating, reproducing, automation (probability surface instead of point);AH34;
Interaktiv steuerbares Modell/Skulptur über Mosaike, Korrektur via Mosaike;Interactively controllable model/sculpture via mosaics, correction via mosaics;AI35;
Gesamte Szenerie;Overall scenery;AJ36;
Näh-Korrektur technischer Zeichnungen, Stricken der Polygonflächen;Sewing correction of technical drawings, knitting of polygon surfaces;AK37;
Dellen und Beulen;Dents and bulges;AL38;
Aufquellen, Volumenzunahme;Swelling, volume increase;AM39;
Bemalen, Texturieren und Färben;Painting, texturing and coloring;AN40;
Kollaborative Arbeit;Collaborative work;AO41;
Extrudieren und Introdieren (Einziehen);Extruding and introduding (pulling in);AP42;
Präsentieren, Rendern mit Raytracing, Radiosity oder einfarbigen Plottmodi;Presenting, rendering with raytracing, radiosity or solid-color plot modes;AQ43;
Animation mit Mechanik, Robotik, Video, Audio, Dimensionen, Verhalten und Cursor-Interaktion;Animation with mechanics, robotics, video, audio, dimensions, behavior and cursor interaction;AR44;
