Hierarchie noch mal;Zuordnung Bedeutung Stadium Spezies Entwicklungsstand;;;
AntaresAntares starSternen systemSystem anteranersAnteraner areSind BothBeide mixedGemischt speciesSpezies alikeWie humanoidHumanoide mankindMenschheit andUnd withMit AsgardAsgard graysGraue psilonsPsilons antikerAntiker combinedKombiniert fusionedFusioniert sixteenSechszehn hexadegramHexadegramm hexadecadegramHexadekadegramm P P thirtyoneEinunddreissig AE AE henatriacontagramHenatriakontagramm;Weltraum Multidimensions Arbeiter Genueger Vorherrschaftler über alle, Okay genug sein wollende multidimensional nicht nur Raumzeit Oberexperten Professionelle, auch andere weniger optimal machende andere Kohlenstoff Kettenmolekül Lebewesen;16;FirstErste;31
OrionOrion starSternen systemSystem orionsOrionen alikeWie humansMenschen humanoidHumaoide butAber hugeRiesige bigGrosses brainGehirn visibleSichtbar andUnd blackSchwarze skinHaut colorFarbe asWie africansAfrikaner pentadegramPentadegramm pentedecadegramPentedekadegramm fifeteenFuenfzehn O O thirtyDreissig AD AD triakontagramTriacontagramm;Weltraum Spezies Daseins und Gesundheits und Ueberlegenheits behaupter Beweiser Erhabenheits Nachweisende;15;SecondZweite;30
AsgardAsgard graysGraue greyGreys psilonsPsilons antikerAntiker psiPsi - lonsLons withMit psiPsi forcesKraeften tetraidegramTetraidegramm tetraidecadegramTetraidekadegramm fourteenVierzehn N N twentynineNeunundzwanzig AC AC enneaicosigramEnneaicosigramm orOder nonaicosigramNonaikosigramm;Weltraum Ingenieure Weltraum Erbauer Konstrukteure Weltraum Problemloeser;14;ThirdDrittens;29
reptoloidsReptoloide sakkraSakkra asWie crocodileKrokodil dragonDrache dinosaurDinosaurier snakeSchlange salamanderSalamander starSternen groupGruppe drakonDrakon drakonisDrakonis tristaidegramTristaidegramm tristaidecadegramTristaidekadegramm thirteenDreizehn M M twentyeightAchtundzwanzig AB AB oktaicosigramOktaikosigramm;Weltraum Aerzte Doktoren Feuerwehrmaenner Lehrer;13;fourthVierte;28
blueBlaue plejadesPlejaden alikeWie similarAehnlich humansMenschen humanoidMenschlich alikeAehnlich dodecadegramDodekadegramm twelveZwoelf L L twentysevenSiebenundzwanzig AA AA heptaicosigramHeptaikosigramm;Weltraum Polizisten;12;fifethFuenfte;27
protosProtos predatorsPraedatoren predatorsRaubkrieger hendegramHendegramm elevenElf K K twentysixSechsundzwanzig Z Z hexicosigramHexikosigramm;Weltraum Cowboys, Stufe was nach Zivilisation kommt und kommen wird;11;sixthSechste;26
humanoidHumanoide humansMenschen peopleVolk HumanoidsHumanoide asWie centauriZentraurus vulcansVulkanier ferengiFerengi romulaniansRomulanier clingonsKlingonen decagramDekagramm tenZehn J J twentyfifeFuenfundzwanzig Y Y penteicosigramPenteikosigramm;Zivilisatorisch, mehrere Zivilisationen, Unterscheidung Mensch von Tier;10;seventhSiebte;25
fromVon antaresAntares fromVon charZeichen zergsZerg aliensFremde nonagramNonagramm nineNeun I I twentyfourVierundzwanzig X X tessaraicosigramTessaraikosigramm;Organisch, Biologie, Organisation, Organe, Tiere wie Tiger Loewe Fuchs Wolf Baer;9;eigthAchte;24
insectiodsInsektoide collectivesKollektive aliensFremde klackonsKlackonen asWie antsAmeisen beesBienen terristrialIrdisch orOder extraterristrialAusserirdisch octagramOktagramm eightAcht H H twentythreeDreiundzwanzig W W triaicosigramTriaikosigramm;Kultur;8;ninethNeuntens;23
petsHaustiere inIm generalAllgemeinen asWie dogsHunde orOder homeHaus catsKatzen petsHaustiere heptagramHeptagramm sevenSieben G G septagramSeptagramm twentytwoZweiundzwanzig V V soSo thatDass orthogonalRechtwinklig isIst ninetyNeunzig degreeGrad toZo petsHaustieren isIst reciprocalReziproke isIst oneEins dotPunkt A A devidedGeteilt byDurch heptagramHeptagramm sevenSieben G G isIst corresponsEntspricht animalTier sheepSchaf heptagonHeptagon innocentUnschuldig wantMoechte toZu beWerden likedGemocht sheepsSchafe insteadAnstelle ofVon selflessSelbstloser leaderAnfuehrer isIst sheepsSchafe heptagonHeptagon reciprocalReziproke ofVom heptagramHeptagramm twentytwoZweiundzwanzig V V dyoicosigramDyoikosigramm;Zivilisation;7;tenthZehntens;22
