fourteenVierzehn N N tetraidegramTetraidegramm tetraidecadegramTetraidekadegramm abstractAbstrakter syntaxSyntax treeBaum fusionFusions combinationsKombinations problemsProbleme solvingLoesungs treeBaum orchestrationsOrchestrierungs doubledDoppelte delegationDelegierungs maestroDirigieren composeKomponieren choreographyChoreographie moodStimmungs treeBaum S S underdoUnterdreiben R R notNicht languageSprache butAber linguisticsLinguistik connectionsVerbindungs treeBaum;
kingdomKoenigreich empireImperium JapanJapan;FirstErstens
monarchMonarchen volksVolk republicRepublik northNord koreaKorea;secondlyZweitens
religiousReligioese monarchyMonarchie BhutanBhutan;thirdDrittens
centralZentral republicRepublik VietnamVietnam;fourthViertens
republicRepublik southSued koreaKorea;fifethFuenftens
centralZentral countryLand volksVolk republicRepublik ChinaChina;sixthSechstens
democraticDemokratisches kingdomKoenigreich ThailandThailand;seventhSiebtens
republicRepublik mongoliaMongolei;eigthAchtens
monarchMonarchen republicRepublik singapurSingapur;ninethNeuntens
republicRepublik TaiwanTaiwan;tenthZehntens
republicRepublik finlandFinnland;eleventhElftens
constitionalKonstitutionalle monarchyMonarchie norwayNorwegen;twelvestZwoelftes
constitionalKonstitutionalle monarchyMonarchie swedenSchweden;thirteenthDreizehntes
constitionalKonstitutionalle monarchyMonarchie denmarkDeanemark;fourteenthVierzehntes
constitionalKonstitutionalle monarchyMonarchie netherlandsNiederlande;fifeteenthFuenfzehntes
parlamentarianParlamentarische monarchyMonarchie australiaAustralien;sixteenthSechszehntes
federalBundes republicRepublik austriaOesterreich;eighteenthAchtzehntes
federalBundes republicRepublik germanyDeutschland;nineteenthNeunzehnte
epublicRepublik islandIsland;twentythZwanzigstes
parlamentarianParlamentarische monarchyMonarchie cannadaKananda;twentyonethEinundzwanzigste
federalFoederale parlamentarianParlamentarische monarchyMonarchie belgiumBelgien;twentytwoZweiundzwanzig
federalBundes halfHalb directDirekte democracyDemokratie switzerlandSchweiz;twentythreeDreiundzwanzig
