0;bondingsBindungen;0;;
G;loveLiebe;7;;
J;coalitionKoalition andUnd asAls loveLiebe friendshipFreundschaft;10;;
M;disireBegehren notNicht loveLiebe butAber alsoAuch loveLiebe highlyHöchstgradig maybeVielleicht;13;;
N;romanceRomantik;14;;
S;supportiveUnterstützende goalsZiele benevolentWohlwollen commonGemeinsame aimsZielvorgaben;19;;
U;passionate-loveVierliebheit haveHat aSich crushVerliebt notNicht loveLiebe butAber alsoAuch loveLiebe highlyHöchstgradig maybeVielleicht;21;masterMeister;;
AB;advantureAbenteuer;28;;
AR;affectionSchwärmen savorSchwelgen;42;issueAngelegenheits dedicationWidmungs masterMeister;
BK;willinglyWillentlich unwillinglyUnwillentliches vibratingVibriendes thoughtsGedanken investmentInvestierung phantazisePhantasieren;63;doctorDoktor phdDoktor;
CF;infatuatedVerknallt infatuatedVerzaubert toZu chaoticChaotisches dwellGrübeln aboutÜber whomWen butAber notNicht loveLiebe butAber alsoAuch loveLiebe highlyHöchstgradig maybeVielleicht;84;professorProfessor;
DA;mercyfulGnadenvolle discerningErkennendes sinkEin inSenkendes investingInvestieren;105;;
DH;devotionHingabe uxoriousnessHingebungsergebenheit;112;;
DV;WidmungsDedication brunstRutting flowHin glowingGluten fervencyInbrunst beSein insideInnerhalb decicationWidmungs glutGowing;126;;
