weaponsWaffen_careerKarriere;0
?;1
?;2
?;3
?;4
?;5
?;6
?;7
?;8
?;9
?;11
?;12
?;13
?;14
?;15
?;16
?;17
?;18
?;19
?;20
?;21
radiation;Strahlung;22
illness;Krankheit;23
masks;Masken;24
gloves;Handschuhe;25
iron will;eisener Wille;26
seduction;Verführung;27
fattening goose;mästen Gänse;28
spiritual warfare;spirituelle Kriegsführung;29
digestionVerdauungs_system_brainGehirn_defenseVerteidigungDevilTeufel_Satan_ByDurchMuscleMuskelBrainGehirnResilenceResilienz61;30;
mentalMentales investmentInvestieren worldWeltPeopleVolk inspectInspizieren intrudeEindringen63;31
