(20) T Kontinuum;;
Form, Eindruck;A1;
Formulierbar, Formbar, dass es geht;B2;
Formuliertes,Formulieren, die Tat (informell);C4;
Formel selbst als Muster und Struktur;D5;
Formal, das Formale, die Art (abduktiv);F6;
Formalisierung, Prozess dafür (induktiv);G7;
Formalisiertes,Welt zu Formel zu Eins (deduktiv);H8;
Geformt (informell);I9;
Formalisierung mit Bezug zur Formelteilen sind ein Muster von Strukturen.;J10;
Formelteile im Bezug zueinander (aduktiv);K11;
Formel-Ordnungs-System-Strukturgesetze;L12;
Formelweg (abduktiv und induktiv);M13;
Aufbau,Verbindung,Zusammenhang;N14;
Formel in Formel, Formalem (deduktiv);O15;
Formen von Formen;P16;
kürzen (deduktiv);Q17;
Muster Verhältnis zu Struktur Formeln;R18;
erweitern (induktiv);S19;
Muster mehreren Strukturen von Formalem, wo dieses Formale Formeln selbst zusammen zueinander Formalem Bezug Formel Bezug, deswegen Muster, statt nur Struktur;T20;
Formel von Formel als Entwicklungspunkt (induktiv);U21;
Formel-Entwicklungsreihe (vor, zurück) gesucht gegeben gefunden Baumstrukturen (abduktiv);V22;
